Participant #,Gender,Word,Rating,Consonant,Vowel,"""P""","""T""","""K"" "," ""M""","""N""","""L""","""E""","""I""","""O""","""U""",1=3
P1,M,tuk,2,Plosive,Back,F,T,T,F,F,F,F,F,F,T,F
P1,M,top,1,Plosive,Back,T,T,F,F,F,F,F,F,T,F,F
P1,M,nun,2,Sonorant,Back,F,F,F,F,T,F,F,F,F,T,T
P1,M,kik,2,Plosive,Front,F,F,T,F,F,F,F,T,F,F,T
P1,M,pup,1,Plosive,Back,T,F,F,F,F,F,F,F,F,T,T
P1,M,tet,2,Plosive,Front,F,T,F,F,F,F,T,F,F,F,T
P1,M,nel,1,Sonorant,Front,F,F,F,F,T,T,T,F,F,F,F
P1,M,tit,3,Plosive,Front,F,T,F,F,F,F,F,T,F,F,T
P1,M,tep,2,Plosive,Front,T,T,F,F,F,F,T,F,F,F,F
P1,M,nul,2,Sonorant,Back,F,F,F,F,T,T,F,F,F,T,F
P1,M,nen,3,Sonorant,Front,F,F,F,F,T,F,T,F,F,F,T
P1,M,mel,1,Sonorant,Front,F,F,F,T,F,T,T,F,F,F,F
P1,M,lon,2,Sonorant,Back,F,F,F,F,T,T,F,F,T,F,F
P1,M,lol,3,Sonorant,Back,F,F,F,F,F,T,F,F,T,F,T
P1,M,lin,2,Sonorant,Front,F,F,F,F,T,T,F,T,F,F,F
P1,M,kuk,2,Plosive,Back,F,F,T,F,F,F,F,F,F,T,T
P2,F,nem,3,Sonorant,Front,F,F,F,T,T,F,T,F,F,F,F
P2,F,nul,1,Sonorant,Back,F,F,F,F,T,T,F,F,F,T,F
P2,F,top,1,Plosive,Back,T,T,F,F,F,F,F,F,T,F,F
P2,F,kut,0,Plosive,Back,F,T,T,F,F,F,F,F,F,T,F
P2,F,kit,1,Plosive,Front,F,T,T,F,F,F,F,T,F,F,F
P2,F,pek,2,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P2,F,len,3,Sonorant,Front,F,F,F,F,T,T,T,F,F,F,F
P2,F,tek,3,Plosive,Front,F,T,T,F,F,F,T,F,F,F,F
P2,F,mum,0,Sonorant,Back,F,F,F,T,F,F,F,F,F,T,T
P2,F,pok,2,Plosive,Back,T,F,T,F,F,F,F,F,T,F,F
P2,F,nol,1,Sonorant,Back,F,F,F,F,T,T,F,F,T,F,F
P2,F,ket,1,Plosive,Front,F,T,T,F,F,F,T,F,F,F,F
P2,F,min,2,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P2,F,num,1,Sonorant,Back,F,F,F,T,T,F,F,F,F,T,F
P2,F,tup,0,Plosive,Back,T,T,F,F,F,F,F,F,F,T,F
P2,F,mem,3,Sonorant,Front,F,F,F,T,F,F,T,F,F,F,T
P3,F,lul,2,Sonorant,Back,F,F,F,F,F,T,F,F,F,T,T
P3,F,nem,3,Sonorant,Front,F,F,F,T,T,F,T,F,F,F,F
P3,F,min,2,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P3,F,mom,2,Sonorant,Back,F,F,F,T,F,F,F,F,T,F,T
P3,F,lom,1,Sonorant,Back,F,F,F,T,F,T,F,F,T,F,F
P3,F,pup,2,Plosive,Back,T,F,F,F,F,F,F,F,F,T,T
P3,F,kip,1,Plosive,Front,T,F,T,F,F,F,F,T,F,F,F
P3,F,kot,0,Plosive,Back,F,T,T,F,F,F,F,F,T,F,F
P3,F,lon,1,Sonorant,Back,F,F,F,F,T,T,F,F,T,F,F
P3,F,kit,2,Plosive,Front,F,T,T,F,F,F,F,T,F,F,F
P3,F,lim,2,Sonorant,Front,F,F,F,T,F,T,F,T,F,F,F
P3,F,tik,2,Plosive,Front,F,T,T,F,F,F,F,T,F,F,F
P3,F,pot,1,Plosive,Back,T,T,F,F,F,F,F,F,T,F,F
P3,F,pok,2,Plosive,Back,T,F,T,F,F,F,F,F,T,F,F
P3,F,kik,3,Plosive,Front,F,F,T,F,F,F,F,T,F,F,T
P3,F,mel,1,Sonorant,Front,F,F,F,T,F,T,T,F,F,F,F
P4,M,mun,1,Sonorant,Back,F,F,F,T,T,F,F,F,F,T,F
P4,M,tek,2,Plosive,Front,F,T,T,F,F,F,T,F,F,F,F
P4,M,pep,1,Plosive,Front,T,F,F,F,F,F,T,F,F,F,T
P4,M,lel,0,Sonorant,Front,F,F,F,F,F,T,T,F,F,F,T
P4,M,nem,3,Sonorant,Front,F,F,F,T,T,F,T,F,F,F,F
P4,M,kep,1,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P4,M,lol,0,Sonorant,Back,F,F,F,F,F,T,F,F,T,F,T
P4,M,mum,1,Sonorant,Back,F,F,F,T,F,F,F,F,F,T,T
P4,M,pot,2,Plosive,Back,T,T,F,F,F,F,F,F,T,F,F
P4,M,pok,1,Plosive,Back,T,F,T,F,F,F,F,F,T,F,F
P4,M,mul,0,Sonorant,Back,F,F,F,T,F,T,F,F,F,T,F
P4,M,nin,0,Sonorant,Front,F,F,F,F,T,F,F,T,F,F,T
P4,M,nim,2,Sonorant,Front,F,F,F,T,T,F,F,T,F,F,F
P4,M,kot,1,Plosive,Back,F,T,T,F,F,F,F,F,T,F,F
P4,M,kit,1,Plosive,Front,F,T,T,F,F,F,F,T,F,F,F
P4,M,kuk,3,Plosive,Back,F,F,T,F,F,F,F,F,F,T,T
P5,M,lim,1,Sonorant,Front,F,F,F,T,F,T,F,T,F,F,F
P5,M,kep,2,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P5,M,put,3,Plosive,Back,T,T,F,F,F,F,F,F,F,T,F
P5,M,mol,0,Sonorant,Back,F,F,F,T,F,T,F,F,T,F,F
P5,M,lul,1,Sonorant,Back,F,F,F,F,F,T,F,F,F,T,T
P5,M,mem,2,Sonorant,Front,F,F,F,T,F,F,T,F,F,F,T
P5,M,pek,2,Plosive,Front,T,F,T,F,F,F,T,F,F,F,F
P5,M,kit,3,Plosive,Front,F,T,T,F,F,F,F,T,F,F,F
P5,M,lum,1,Sonorant,Back,F,F,F,T,F,T,F,F,F,T,F
